Link,Item Name,Product SKU,Image,Manufacturer Product Number,Type,Price,Description,"Details (Color, Dimensions including seat heigh, overall height, overall width, overall depth, net weight, material)"
,Bentwood Chair - Natural,CHR-BEN-N,"Bentwood Chair, Natural.png",WR07 (resin),Chair,$9.00,"A timeless design with gentle curves and a warm, natural finish. The Bentwood chair offers a clean, classic look that pairs beautifully with a wide range of event styles. Simple yet elegant, it adds a welcoming and versatile touch to any setting.",
,Atelier Bronze Metal Bar Stool,CHR-BAR-B,Atelier Bronze Metal Bar Stool.png,Seating Masters - Distressed Bronze Bistro,Chair,$17.00,"Sleek and understated with an industrial edge. The Atelier Bronze Metal Bar Stool features a sculpted metal frame in a warm bronze finish, offering a refined yet modern accent for bars, cocktail receptions, and elevated lounge settings.",
,"30"" Cocktail Table w/ 30"" and 42"" poles",TBL-COC-30,"30"" Cocktail Table w/ 30"" and 42"" poles.png",,Table,$11.00,n/a,
,6' Rectangular Table,TBL-REC-6,6' Rectangular Table.png,WT10B:182*76W*76H (cm),Table,$10.00,n/a,
,Kings Table,TBL-KNG,King's Table.png,,Table,$20.00,n/a,
,"60"" Round Table",TBL-ROU-60,"60"" Round Table.png",WT10:150cm (D),Table,$12.00,n/a,
,"72"" Round Table",TBL-ROU-72,"72"" Round Table.png",WT09:180cm (D),Table,$16.00,n/a,
,"36"" Round Table",TBL-ROU-36,"36"" Round Table.png",,Table,$9.50,n/a,
,Serpintine Table,TBL-SER,Serpentine Table,,Table,$17.00,n/a,
,10'x10' Canopy Tent,TNT-1010C-W,10'x10' Canopy Tent.png,,Tent,$80.00,n/a,
,10'x20' Canopy Tent,TNT-1020C-W,10'x20' Canopy Tent.png,,Tent,$150.00,n/a,
,20'x20' Frame Tent,TNT-2020F-W,,,Tent,$650.00,n/a,
,20'x40' Frame Tent,TNT-2040F-W,,,Tent,"$1,200.00",n/a,
,Children's Chair,CHR-CHL-W,Children's Chair.png,,Chair,$2.00,"A simple, timeless chair designed for little guests. Featuring a lightweight metal frame with a clean white seat, it blends effortlessly into any event setting.",
,Director's Chair,CHR-DIR-N,Director's Chair.png,,Chair,$20.00,"This wooden director’s chair features a natural wood frame with black canvas seat and back, making it ideal for styling lounges and on-stage settings with a clean, iconic look.",
